Greece,"Age population, age 02, female, interpolated",56232
Greece,"Age population, age 02, male, interpolated",59824
Greenland,"Age population, age 0, female, interpolated",
Greenland,"Age population, age 0, male, interpolated",
Greenland,"Age population, age 01, female, interpolated",
Greenland,"Age population, age 01, male, interpolated",
Greenland,"Age population, age 02, female, interpolated",
Greenland,"Age population, age 02, male, interpolated",
Grenada,"Age population, age 0, female, interpolated",1045
Grenada,"Age population, age 0, male, interpolated",1094
Grenada,"Age population, age 01, female, interpolated",1023
Grenada,"Age population, age 01, male, interpolated",1072
Grenada,"Age population, age 02, female, interpolated",970
Grenada,"Age population, age 02, male, interpolated",1017
Guam,"Age population, age 0, female, interpolated",1313
Guam,"Age population, age 0, male, interpolated",1437
Guam,"Age population, age 01, female, interpolated",1323
Guam,"Age population, age 01, male, interpolated",1438
Guam,"Age population, age 02, female, interpolated",1356
Guam,"Age population, age 02, male, interpolated",1445
Guatemala,"Age population, age 0, female, interpolated",219476
Guatemala,"Age population, age 0, male, interpolated",228459
Guatemala,"Age population, age 01, female, interpolated",216311
Guatemala,"Age population, age 01, male, interpolated",224914
Guatemala,"Age population, age 02, female, interpolated",214274
Guatemala,"Age population, age 02, male, interpolated",222541
Guinea,"Age population, age 0, female, interpolated",192410
Guinea,"Age population, age 0, male, interpolated",194904
Guinea,"Age population, age 01, female, interpolated",186920
Guinea,"Age population, age 01, male, interpolated",189546
Guinea,"Age population, age 02, female, interpolated",180785
Guinea,"Age population, age 02, male, interpolated",183431
Guinea-Bissau,"Age population, age 0, female, interpolated",27630
Guinea-Bissau,"Age population, age 0, male, interpolated",27968
Guinea-Bissau,"Age population, age 01, female, interpolated",26867
Guinea-Bissau,"Age population, age 01, male, interpolated",27121
Guinea-Bissau,"Age population, age 02, female, interpolated",25978
Guinea-Bissau,"Age population, age 02, male, interpolated",26126
Guyana,"Age population, age 0, female, interpolated",8172
Guyana,"Age population, age 0, male, interpolated",8343
Guyana,"Age population, age 01, female, interpolated",8498
Guyana,"Age population, age 01, male, interpolated",8746
Guyana,"Age population, age 02, female, interpolated",9071
Guyana,"Age population, age 02, male, interpolated",9690
Haiti,"Age population, age 0, female, interpolated",124662
Haiti,"Age population, age 0, male, interpolated",130313
Haiti,"Age population, age 01, female, interpolated",123602
Haiti,"Age population, age 01, male, interpolated",129104
Haiti,"Age population, age 02, female, interpolated",122013
Haiti,"Age population, age 02, male, interpolated",127227
Heavily indebted poor countries (HIPC),"Age population, age 0, female, interpolated",
Heavily indebted poor countries (HIPC),"Age population, age 0, male, interpolated",
Heavily indebted poor countries (HIPC),"Age population, age 01, female, interpolated",
Heavily indebted poor countries (HIPC),"Age population, age 01, male, interpolated",
Heavily indebted poor countries (HIPC),"Age population, age 02, female, interpolated",
Heavily indebted poor countries (HIPC),"Age population, age 02, male, interpolated",
High income,"Age population, age 0, female, interpolated",
High income,"Age population, age 0, male, interpolated",
High income,"Age population, age 01, female, interpolated",
High income,"Age population, age 01, male, interpolated",
High income,"Age population, age 02, female, interpolated",
High income,"Age population, age 02, male, interpolated",
High income: nonOECD,"Age population, age 0, female, interpolated",
High income: nonOECD,"Age population, age 0, male, interpolated",
