plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
15,54,oilcrop,soybean,139,516,1,OTC,1,field,3,34.3,0.71,0.5041,NA,2,2_straw,default,54-Belgium516NANAambientNA2_straw,Shivashankar_and_Vlassak_1978,Belgium,,Belg,1,
1,1,C3_cereal,wheat,140,676,1,OTC,1,field,5,21.1,0.4,0.16,NA,2,,default,"1-Saerheim,_Norway676NANAambientNA",Sæbø_and_Mortensen_1996,"Saerheim,_Norway",,Saer,1,
1,1,C3_cereal,wheat,141,550,1,FACE,1,field,4,13.38329,0.110527376,0.012216301,dry,1,TOS2,yitpi,"1-Horsham,_Australia2007550dryyitpiambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,
2,2,C3_cereal,rice,142,700,1,GC,0,pots,1,1.608,0.021,0.000441,NA,2,[P]_=_60,default,"2-University_of_Western_Sydney,_Australia700NANAambientNA[P]_=_60",Seneweera_et_al_1996_Seneweera_&_Conroy_1997_,"University_of_Western_Sydney,_Australia",,UWS,1,
15,54,oilcrop,soybean,143,550,1,FACE,1,field,4,6.26,0.057879185,0.00335,dry,1,,dwight,54-Champaign_Illinois2004550drydwightambientlow,,Champaign_Illinois,2004,Illn,3,
2,2,C3_cereal,rice,144,584,1,FACE,1,field,4,1.19,0.01779513,0.000316667,wet,2,,Akidawara,"2-Tsukubamirai,_Japan2010584wetAkidawaraambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,
15,54,oilcrop,soybean,145,550,1,FACE,1,field,3,6.4125,0.118348004,0.01400625,dry,1,,williams,54-Champaign_Illinois2004550drywilliamsambientlow,,Champaign_Illinois,2004,Illn,3,
1,1,C3_cereal,wheat,146,550,1,FACE,1,field,2,109,,,NA,3,,batis,"1-Braunschweig,_Germany2004/2005550NAbatisambienthigh",Wroblewitz_et_al_2013,"Braunschweig,_Germany",2004/2005,Brau,7,
3,3,C3_cereal,barley,147,700,1,OTC,0,pots,2,2.31,,,NA,3,,Krona_1990,"3-Braunschweig,_Germany1995700NAKrona_1990ambienthigh",Weigel_and_Manderscheid_2005,"Braunschweig,_Germany",1995,Brau,3,
18,57,oilcrop,rapeseed,148,550,1,GC,0,pots,3,25.2,,,NA,1,,default,"57-Heidfeldhof,_Stuttgart550NANAambientlow",Franzaring_et_al_2011_2012,"Heidfeldhof,_Stuttgart",,Heid,5,
1,1,C3_cereal,wheat,149,550,1,FACE,1,field,4,14.195975,0.252694153,0.063854335,wet,1,TOS1_maybe,gladius,"1-Horsham,_Australia2009550wetgladiusambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,
2,2,C3_cereal,rice,150,584,1,FACE,1,field,4,1.2175,0.028975564,0.000839583,wet,3,,Bekoaoba,"2-Tsukubamirai,_Japan2010584wetBekoaobaambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,
2,2,C3_cereal,rice,151,584,1,FACE,1,field,4,1.2125,0.023935678,0.000572917,wet,2,,Takanari,"2-Tsukubamirai,_Japan2010584wetTakanariambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,
15,54,oilcrop,soybean,152,516,1,OTC,1,field,3,31.8,0.71,0.5041,NA,2,0_straw,default,54-Belgium516NANAambientNA0_straw,Shivashankar_and_Vlassak_1978,Belgium,,Belg,1,
1,1,C3_cereal,wheat,153,550,1,FACE,1,field,4,16.73299,0.212860165,0.04530945,wet,1,TOS_2_maybe,janz,"1-Horsham,_Australia2008550wetjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,
1,1,C3_cereal,wheat,154,550,1,FACE,1,field,4,13.9522,0.286718536,0.082207519,wet,1,TOS1_maybe,janz,"1-Horsham,_Australia2009550wetjanzambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,
13,32,pulses,peas,155,550,1,FACE,1,field,4,3.2475,0.03705289,0.001372917,wet,1,TOS_2_maybe,Sturt,"32-Horsham,_Australia2010550wetSturtambientlowTOS_2_maybe",,"Horsham,_Australia",2010,Hors,4,
13,32,pulses,peas,156,550,1,FACE,1,field,4,3.5225,0.074874896,0.00560625,wet,1,TOS_2_maybe,OZP0902,"32-Horsham,_Australia2010550wetOZP0902ambientlowTOS_2_maybe",,"Horsham,_Australia",2010,Hors,4,
2,2,C3_cereal,rice,157,700,1,GC,0,pots,1,1.409,0.0715,0.00511225,NA,2,[P]=240,default,"2-University_of_Western_Sydney,_Australia700NANAambientNA[P]=240",Seneweera_et_al_1996_Seneweera_&_Conroy_1997_,"University_of_Western_Sydney,_Australia",,UWS,1,no_samplesize
13,32,pulses,peas,158,550,1,FACE,1,field,4,3.5475,0.08615635,0.007422917,dry,1,TOS_1_maybe,OZP0902,"32-Horsham,_Australia2010550dryOZP0902ambientlowTOS_1_maybe",,"Horsham,_Australia",2010,Hors,4,
15,54,oilcrop,soybean,159,593,1,GH,0,pots,1,4.21,0.053665631,0.00288,NA,2,,non-nodulating_cultivar,"54-Morioka,_Japan2004593NAnon-nodulating_cultivarambientNA",Oikawa_et_al_2010,"Morioka,_Japan",2004,Mori,1,
10,18,root_vegetable,potato,160,554.3,1,OTC,0.5,both,4,0.938,,,NA,2,,default,"18-Giessen,_Germany1998,_1999554.3NANAambientNA",Hogy_&_Fangmeier_2009,"Giessen,_Germany","1998,_1999",Gies,3,
8,9,C3_cereal,buckwheat,161,700,1,OTC,0,pots,2,2.97,,,NA,2,,default,9-Tohoku_uni_Sendai_Japan2003700NANAambientNA,Miyagi_et_al_2007,Tohoku_uni_Sendai_Japan,2003,Toho,1,no_SE
1,1,C3_cereal,wheat,162,715,1,GC,0,pots,4,18.01,0.4015,0.16120225,NA,2,,chris,1-South_Dakota715NAchrisambientNA,Ziska_et_al_2004,South_Dakota,,SoDa,1,
1,1,C3_cereal,wheat,163,550,1,FACE,1,field,3,94.11764706,,,NA,1,,default,1-Changping550NANAambientlow,Lam_et_al_2012b,Changping,,Chang,1,
2,2,C3_cereal,rice,164,584,1,FACE,1,field,4,1.175,0.021015867,0.000441667,wet,2,,Akihikari,"2-Tsukubamirai,_Japan2010584wetAkihikariambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,
15,54,oilcrop,soybean,165,550,1,FACE,1,field,4,6.27,0.01779513,0.000316667,dry,1,,dwight,54-Champaign_Illinois2002550drydwightambientlow,,Champaign_Illinois,2002,Illn,2,
2,2,C3_cereal,rice,166,650,1,tunnel,1,field,3,75.908,0.75,0.5625,NA,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2009650NANAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2009,Kore,1,
2,2,C3_cereal,rice,167,650,1,tunnel,1,field,3,76.287,2.22,4.9284,NA,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2010650NANAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2010,Kore,2,
1,1,C3_cereal,wheat,168,550,1,FACE,1,field,4,16.47194,0.439270906,0.192958929,dry,2,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2008,Hors,2,
1,1,C3_cereal,wheat,169,715,1,GC,0,pots,4,19.971,0.5,0.25,NA,2,,thatcher,1-South_Dakota715NAthatcherambientNA,Ziska_et_al_2004,South_Dakota,,SoDa,1,
13,32,pulses,peas,170,550,1,FACE,1,field,4,3.1325,0.093574836,0.00875625,dry,1,TOS_1_maybe,OZP0601,"32-Horsham,_Australia2010550dryOZP0601ambientlowTOS_1_maybe",,"Horsham,_Australia",2010,Hors,4,
2,2,C3_cereal,rice,171,584,1,FACE,1,field,4,1.245,0.018484228,0.000341667,wet,3,,IR72,"2-Tsukubamirai,_Japan2010584wetIR72ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,
