country,max protein,source main protein,source.meatorveg,simplified.source.protein,source main veg protein,source main carbs,av age boysandgirls,FBS order,Pop order
Lebanon,26,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,31.72026163,106,113
Lesotho,38,Maize and products,v,Maize and products,Maize and products,Rice (Milled Equivalent),23.73308209,107,114
Liberia,18,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,22.25906837,108,118
Libya,33,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,27.34890256,109,119
Lithuania,29,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),39.10187563,110,120
Low Income Food Deficit Countries,13,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,,111,
Luxembourg,26,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,38.61765951,112,121
Madagascar,23,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),22.09990948,113,122
Malawi,30,Maize and products,v,Maize and products,Maize and products,Wheat and products,21.07605284,114,123
Malaysia,13,Poultry MeatRice (Milled Equivalent),b,NA,Rice (Milled Equivalent),Rice (Milled Equivalent),28.70295077,115,124
Maldives,38,Pelagic Fish,m,animals,Wheat and products,Maize and products,26.54626121,116,125
Mali,12,Milk - Excluding ButterRice (Milled Equivalent)Sorghum and products,b,NA,Rice (Milled Equivalent)Sorghum and products,Rice (Milled Equivalent),20.71729908,117,126
