Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","17","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","11","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","163","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","9","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","21","Brazil","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","21","Brazil","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","21","Brazil","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","21","Brazil","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","254","Fc","Calculated data"
